pid,vid
0153100000287934,0153010000420965
0153100000207823,0153010000318823
0153100000469404,0153010000469453
0153100000270781,0153010000416239
0153100000202504,0153010000437541
0153100000251929,0153010000332787
0153100000271893,0153010000371657
0153100000232083,0153010000346483
0153100000274671,0153010000463653
0153100000259162,0153010000345375
0153100000230784,0153010000311795
0153100000256530,0153010000367487
0153100000284857,0153010000361181
0153100000285904,0153010000462505
0153100000277249,0153010000456249
0153100000269041,0153010000380961
0153100000203054,0153010000421255
0153100000283800,0153010000462733
0153100000249950,0153010000345325
0153100000282697,0153010000463537
0153100000238772,0153010000456797
0153100000240282,0153010000376325
0153100000231639,0153010000319659
0153100000253608,0153010000460615
0153100000234373,0153010000420881
0153100000283669,0153010000343497
0153100000239577,0153010000309951
0153100000262502,0153010000411081
0153100000260496,0153010000431347
0153100000279731,0153010000305753
0153100000291316,0153010000346555
0153100000252309,0153010000423703
0153100000237023,0153010000315659
0153100000241382,0153010000394929
0153100000230674,0153010000383237
0153100000260570,0153010000417507
0153100000290537,0153010000310507
0153100000264978,0153010000462615
0153100000494599,0153010000514238
0153100000222731,0153010000461709
0153100000205762,0153010000298455
0153100000253731,0153010000384107
0153100000279511,0153010000395685
0153100000202803,0153010000368509
0153100000260836,0153010000418469
0153100000276417,0153010000380795
0153100000274331,0153010000384167
0153100000237685,0153010000306477
0153100000272020,0153010000505644
0153100000249633,0153010000300463
0153100000262548,0153010000498797
,0153010000515375
0153100000282738,0153010000393791
0153100000466510,0153010000466511
0153100000272827,0153010000422201
0153100000467327,0153010000467332
0153100000262981,0153010000383937
0153100000216502,0153010000450765
0153100000477308,0153010000477310
0153100000282216,0153010000406177
0153100000226713,0153010000326783
0153100000252362,0153010000403923
0153100000203152,0153010000421223
0153100000243486,0153010000411921
0153100000246478,0153010000401437
0153100000220171,0153010000464137
0153100000260632,0153010000326233
0153100000502185,0153010000502187
0153100000220966,0153010000389085
0153100000269287,0153010000455463
0153100000239939,0153010000304931
0153100000238720,0153010000438087
0153100000227672,0153010000387981
0153100000270615,0153010000362787
0153100000206719,0153010000298901
0153100000246633,0153010000452813
0153100000471995,0153010000472154
0153100000211236,0153010000409999
0153100000248895,0153010000296477
0153100000289388,0153010000323417
0153100000289426,0153010000344363
0153100000204125,0153010000302083
0153100000249178,0153010000344413
0153100000239521,0153010000373685
0153100000285318,0153010000423481
0153100000213707,0153010000491772
0153100000259831,0153010000457645
0153100000280004,0153010000402903
0153100000277705,0153010000316981
0153100000504298,0153010000451817
0153100000470337,0153010000470503
0153100000269041,0153010000424409
0153100000231302,0153010000435431
0153100000240126,0153010000372193
0153100000202827,0153010000355933
0153100000243128,0153010000328923
0153100000494790,0153010000494973
0153100000234137,0153010000320537
0153100000226402,0153010000317213
0153100000493374,0153010000493376
0153100000280642,0153010000508408
0153100000237798,0153010000372289
0153100000261071,0153010000399665
0153100000260223,0153010000511465
0153100000255112,0153010000365101
0153100000219920,0153010000448655
0153100000257909,0153010000386251
0153100000269711,0153010000410707
0153100000288915,0153010000322021
0153100000236552,0153010000313155
0153100000215786,0153010000385105
0153100000204643,0153010000414521
,0153010000516007
0153100000263491,0153010000393453
0153100000235459,0153010000396411
